season,episode,title,scene,speaker,line
1,1,Good_News_Bad_News,2,jerry,"See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. It's too high! It's in no-man's-land. You look like you live with your mother."
1,1,Good_News_Bad_News,2,george,Are you through?
1,1,Good_News_Bad_News,2,jerry,"You do of course try on, when you buy?"
1,1,Good_News_Bad_News,2,george,"Yes, it was purple, I liked it, I don't actually recall considering the buttons."
1,1,Good_News_Bad_News,2,jerry,"Oh, you don't recall?"
1,1,Good_News_Bad_News,2,george,"Uh, no, not at this time."
1,1,Good_News_Bad_News,2,jerry,"Well, senator, I'd just like to know, what you knew and when you knew it."
1,1,Good_News_Bad_News,3,george,"Are, are you sure this is decaf? Where's the orange indicator?"
1,1,Good_News_Bad_News,3,jerry,"Can you relax, it's a cup of coffee. Claire is a professional waitress."
1,1,Good_News_Bad_News,4,george,How come you're not doin' the second show tomorrow?
1,1,Good_News_Bad_News,4,jerry,"Well, there's this uh, woman might be comin' in."
1,1,Good_News_Bad_News,4,george,"Wait a second, wait a second, what coming in, what woman is coming in?"
1,1,Good_News_Bad_News,4,jerry,"I told you about Laura, the girl I met in Michigan?"
1,1,Good_News_Bad_News,4,george,"No, you didn't!"
1,1,Good_News_Bad_News,4,jerry,"I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing..."
1,1,Good_News_Bad_News,4,george,Ha.
1,1,Good_News_Bad_News,4,jerry,"There's no milk in here, what..."
1,1,Good_News_Bad_News,4,george,"Wait wait wait, what is she...  What is she like?"
1,1,Good_News_Bad_News,4,jerry,"Oh, she's really great. I mean, she's got like a real warmth about her and she's really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better."
1,1,Good_News_Bad_News,4,george,"So, you know, what, what happened?"
1,1,Good_News_Bad_News,4,jerry,"Oh, nothing happened, you know, but is was great."
1,1,Good_News_Bad_News,4,george,"Oh, nothing happened, but it was..."
1,1,Good_News_Bad_News,4,jerry,Yeah.
1,1,Good_News_Bad_News,4,george,This is great!
1,1,Good_News_Bad_News,4,jerry,Yeah.
1,1,Good_News_Bad_News,4,george,"So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!"
1,1,Good_News_Bad_News,4,jerry,"Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together."
